iter	Passed	Remaining
0	1	141
1	2	133
2	4	136
3	5	123
4	6	118
5	7	115
6	8	110
7	9	109
8	10	110
9	12	116
10	14	118
11	16	117
12	17	115
13	18	113
14	19	110
15	20	107
16	21	104
17	22	102
18	23	100
19	24	98
20	25	96
21	26	94
22	27	93
23	29	92
24	30	90
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	36	81
31	37	80
32	38	78
33	40	77
34	41	76
35	42	75
36	43	74
37	44	73
38	45	71
39	46	70
40	48	69
41	48	67
42	49	65
43	50	64
44	51	63
45	53	62
46	54	61
47	55	60
48	57	60
49	59	59
50	62	59
51	64	59
52	65	58
53	66	57
54	67	55
55	69	54
56	70	53
57	73	52
58	74	52
59	76	50
60	77	49
61	78	48
62	79	46
63	80	45
64	81	44
65	82	42
66	83	41
67	85	40
68	86	38
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	111	13
89	112	12
90	113	11
91	114	9
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
